code,name,name_en,primary_code,level
01,汽车服务,Auto Service,,1
0100,汽车服务相关,Automobile Service Related,01,2
0101,加油站,Filling Station,01,2
0102,其它能源站,Other Energy Station,01,2
0103,加气站,Filling Station,01,2
0104,汽车养护/装饰,Automobile Maintenance/Decoration,01,2
0105,洗车场,Car Wash,01,2
0106,汽车俱乐部,Automobile Club,01,2
0107,汽车救援,Automobile Rescue,01,2
0108,汽车配件销售,Automobile Parts Sales,01,2
0109,汽车租赁,Automobile Rental,01,2
0110,二手车交易,Used Automobile Dealer,01,2
0111,充电站,Charging Station,01,2
02,汽车销售,Auto Dealers,,1
0200,汽车销售,Automobile Sales,02,2
0201,大众特约销售,Volkswagen Franchised Sales,02,2
0202,本田特约销售,Honda Franchised Sales,02,2
0203,奥迪特约销售,Audi Franchised Sales,02,2
0204,通用特约销售,General Motors Franchised Sales,02,2
0206,宝马特约销售,BMW Franchised Sales,02,2
0207,日产特约销售,Nissan Franchised Sales,02,2
0208,雷诺特约销售,Renault Franchised Sales,02,2
0209,梅赛德斯-奔驰特约销售,Mercedes-Benz Franchised Sales,02,2
0210,丰田特约销售,Toyota Franchised Sales,02,2
0211,斯巴鲁特约销售,Subaru Franchised Sales,02,2
0212,标致雪铁龙特约销售,Peugeot Citroen Franchised Sales,02,2
0213,三菱特约销售,Mitsubishi Franchised Sales,02,2
0214,菲亚特约销售,Fiat Franchised Sales,02,2
0215,法拉利特约销售,Ferrari Franchised Sales,02,2
0216,现代特约销售,Hyundai Franchised Sales,02,2
0217,起亚特约销售,KIA Franchised Sales,02,2
0218,福特特约销售,Ford Franchised Sales,02,2
0219,捷豹特约销售,JAGUAR Franchised Sales,02,2
0220,路虎特约销售,Land Rover Franchised Sales,02,2
0221,保时捷特约销售,Porsche Franchised Sales,02,2
0222,东风特约销售,DFM Franchised Sales,02,2
0223,吉利特约销售,Geely Franchised Sales,02,2
0224,奇瑞特约销售,Chery Franchised Sales,02,2
0225,克莱斯勒特约销售,Chrysler Franchised Sales,02,2
0226,荣威销售,ROEWE Sales,02,2
0227,名爵销售,MG Sales,02,2
0228,江淮销售,JAC Sales,02,2
0229,红旗销售,Hongqi Sales,02,2
0230,长安汽车销售,Chang'an Sales,02,2
0231,海马汽车销售,Haima Sales,02,2
0232,北京汽车销售,BAIC MOTOR Sales,02,2
0233,长城汽车销售,Great Wall Sales,02,2
0234,纳智捷销售,Luxgen Sales,02,2
0235,广汽传祺销售,GAC Trumpchi Sales,02,2
0250,货车销售,Truck Sales,02,2
0251,东风货车销售,Dongfeng Truck Sales,02,2
0252,中国重汽销售,SINOTRUK Sales,02,2
0253,一汽解放销售,FAW Jiefang Sales,02,2
0254,福田卡车销售,Foton Truck Sales,02,2
0255,陕西重汽销售,Shaanxi Heavy-duty Truck Sales,02,2
0256,北奔重汽销售,Beiben Trucks Sales,02,2
0257,江淮货车销售,JAC Truck Sales,02,2
0258,华菱星马销售,CAMC Sales,02,2
0259,成都大运汽车销售,Chengdu Dayun Automotive Sales,02,2
0260,梅赛德斯-奔驰卡车销售,Mercedes-Benz Truck Sales,02,2
0261,德国曼恩销售,MAN Sales,02,2
0262,斯堪尼亚销售,SCANIA Sales,02,2
0263,沃尔沃卡车销售,Volvo Truck Sales,02,2
0299,观致销售,Qoros Sales,02,2
03,汽车维修,Auto Repair,,1
0300,汽车维修,Automobile Repair,03,2
0301,汽车综合维修,Automobile Comprehensive Repair,03,2
0302,大众特约维修,Volkswagen Franchised Repair,03,2
0303,本田特约维修,Honda Franchised Repair,03,2
0304,奥迪特约维修,Audi Franchised Repair,03,2
0305,通用特约维修,General Motors Franchised Repair,03,2
0307,宝马特约维修,BMW Franchised Repair,03,2
0308,日产特约维修,Nissan Franchised Repair,03,2
0309,雷诺特约维修,Renault Franchised Repair,03,2
0310,梅赛德斯-奔驰特约维修,Mercedes-Benz Franchised Repair,03,2
0311,丰田特约维修,Toyota Franchised Repair,03,2
0312,斯巴鲁特约维修,Subaru Franchised Repair,03,2
0313,标致雪铁龙特约维修,Peugeot Citroen Franchised Repair,03,2
0314,三菱特约维修,Mitsubishi Franchised Repair,03,2
0315,菲亚特特约维修,Fiat Franchised Repair,03,2
0316,法拉利特约维修,Ferrari Franchised Repair,03,2
0317,现代特约维修,Hyundai Franchised Repair,03,2
0318,起亚特约维修,KIA Franchised Repair,03,2
0319,福特特约维修,Ford Franchised Repair,03,2
0320,捷豹特约维修,JAGUAR Franchised Repair,03,2
0321,路虎特约维修,Land Rover Franchised Repair,03,2
0322,保时捷特约维修,Porsche Franchised Repair,03,2
0323,东风特约维修,DFM Franchised Repair,03,2
0324,吉利特约维修,Geely Franchised Repair,03,2
0325,奇瑞特约维修,Chery Franchised Repair,03,2
0326,克莱斯勒特约维修,Chrysler Franchised Repair,03,2
0327,荣威维修,ROEWE Repair,03,2
0328,名爵维修,MG Repair,03,2
0329,江淮维修,JAC Repair,03,2
0330,红旗维修,Hongqi Repair,03,2
0331,长安汽车维修,Chang'an Repair,03,2
0332,海马汽车维修,Haima Repair,03,2
0333,北京汽车维修,BAIC MOTOR Repair,03,2
